ra,dec,h_m,prox
63.630269,-10.988269,12.001,89.2
12.226607,16.307491,12.001,75.7
47.200697,-71.734764,12.001,88.7
342.341011,-15.278509,12.001,87.3
22.143806,0.941200,12.001,97.6
352.117448,13.367228,12.001,78.8
74.526698,-55.787621,12.001,75.7
14.734415,-31.647278,12.001,102.1
350.042489,-6.329095,12.001,83.2
190.428092,19.886295,12.001,99.4
223.091392,17.196186,12.001,82.2
171.271852,47.588367,12.001,90.7
145.865736,33.076241,12.001,86.7
190.149199,15.371211,12.001,77.3
5.766712,11.813697,12.001,75.8
18.057782,-4.184745,12.001,82.8
173.415676,40.198849,12.001,80.5
347.799546,-16.066168,12.001,76.2
71.560352,-53.024212,12.001,78.0
225.034050,59.501347,12.001,79.7
157.564719,49.518829,12.001,126.5
193.212311,12.657124,12.001,101.5
228.627437,18.086905,12.001,86.8
221.909334,67.036842,12.001,85.0
173.014548,13.060941,12.001,81.6
219.283313,20.173912,12.001,82.8
217.122745,15.586014,12.001,92.1
24.706115,-38.953411,12.001,89.0
12.852013,-81.714928,12.001,78.0
196.313175,9.924793,12.001,81.2
148.462218,61.836269,12.001,86.1
236.739319,70.736549,12.001,91.5
52.822228,-23.883457,12.001,105.9
186.315854,35.150597,12.001,106.9
130.201907,59.050716,12.001,75.4
69.486982,0.192844,12.001,94.8
190.528968,6.949591,12.001,103.7
29.611888,-80.602974,12.001,75.7
49.795994,-47.713833,12.001,76.6
2.374135,-22.821213,12.001,127.7
26.197806,29.535810,12.001,75.9
62.797415,-22.088268,12.001,93.9
217.442712,37.567806,12.001,92.0
159.134001,2.708689,12.001,99.8
166.452898,64.954567,12.001,98.8
32.503815,-36.478092,12.001,81.9
207.014430,-12.162193,12.001,88.6
326.363171,9.364789,12.001,77.1
36.837868,5.031276,12.001,89.7
135.893101,2.791101,12.001,83.4
29.008853,-42.130245,12.001,90.6
35.049412,16.672825,12.001,77.9
36.523926,-32.568241,12.001,79.2
356.459409,28.547619,12.001,81.9
165.988686,36.740089,12.001,83.0
136.832723,11.038993,12.001,82.6
51.953326,-23.634254,12.001,97.4
349.517191,-43.548618,12.001,90.4
201.635740,30.372929,12.001,117.2
39.075768,0.536945,12.001,81.4
33.064184,-35.902298,12.001,102.1
34.213373,-24.209747,12.001,80.2
180.789828,8.575519,12.001,82.6
177.838873,-15.654043,12.001,75.2
186.372113,-33.949257,12.001,76.6
354.124765,-50.474537,12.001,106.6
139.013930,29.545731,12.001,80.9
252.759138,61.000629,12.001,82.2
347.243719,-37.568138,12.001,82.1
165.145442,44.933846,12.001,77.0
324.120077,-19.991009,12.001,75.7
155.133736,-6.256191,12.001,78.4
222.917350,53.079090,12.001,131.7
15.369556,-35.580891,12.001,97.9
111.738925,37.745350,12.001,79.9
174.702401,-11.102930,12.001,83.8
200.082619,-17.343704,12.001,98.7
168.858941,-6.119012,12.001,98.3
29.706895,4.898692,12.001,92.4
359.645030,4.002087,12.001,100.6
2.539324,-16.938581,12.001,81.0
