ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,gal_contam,mp_flg,j_h,h_k,j_k
104.813184,-24.317961,0.07,0.07,90,06591516-2419046,5.714,0.025,0.030,193566.4,5.001,0.031,0.034,177218.9,4.577,0.007,0.016,116310.8,AEE,111,111,000,562625,24.8,0,0,0.7130,0.4240,1.1370
70.431702,60.073223,0.07,0.07,90,04414360+6004236,5.826,0.009,0.019,162940.9,5.001,0.025,0.029,159775.4,4.721,0.011,0.018,105443.6,AAA,111,111,000,665656,20.8,0,0,0.8250,0.2800,1.1050
123.739726,-33.449047,0.06,0.06,90,08145753-3326565,5.916,0.007,0.018,144887.2,5.001,0.009,0.017,183446.7,4.676,0.011,0.018,99087.8,AAA,111,111,000,663646,22.7,0,0,0.9150,0.3250,1.2400
79.893870,-13.176805,0.08,0.07,0,05193452-1310364,4.882,0.005,0.018,362768.9,5.001,0.045,0.047,165390.3,5.004,0.009,0.017,73252.1,EAA,111,111,000,273756,87.5,0,0,-0.1190,-0.0030,-0.1220
99.541406,4.334385,0.14,0.08,0,06380993+0420037,5.976,0.011,0.020,132443.3,5.001,0.075,0.076,144048.9,4.384,0.023,0.027,138937.7,AEE,111,111,00d,661626,20.2,0,0,0.9750,0.6170,1.5920
264.844006,18.007061,0.08,0.08,90,17392256+1800254,5.594,0.007,0.018,201757.6,5.001,0.027,0.031,159775.4,4.841,0.005,0.016,94410.4,AAA,111,111,000,563666,34.6,0,0,0.5930,0.1600,0.7530
217.717790,-24.589470,0.07,0.07,0,14305226-2435220,5.797,0.013,0.021,150879.4,5.001,0.031,0.034,144048.9,4.780,0.017,0.023,93200.9,AEA,111,111,000,662656,40.8,0,0,0.7960,0.2210,1.0170
16.266205,-13.759577,0.09,0.07,90,01050388-1345344,5.502,0.013,0.021,235304.4,5.001,0.017,0.023,159775.4,4.838,0.007,0.016,105007.4,AAA,111,111,000,464656,52.2,0,0,0.5010,0.1630,0.6640
343.574180,32.264229,0.07,0.06,0,22541780+3215512,5.811,0.007,0.018,159598.9,5.001,0.011,0.018,144048.9,4.704,0.005,0.016,87060.3,AAA,111,111,000,665666,39.7,0,0,0.8100,0.2970,1.1070
310.832753,25.759554,0.07,0.06,0,20431986+2545343,5.948,0.011,0.020,150740.5,5.001,0.027,0.031,149111.1,4.623,0.017,0.023,137157.6,AAA,111,111,000,777767,22.9,0,0,0.9470,0.3780,1.3250
134.866572,-47.369621,0.07,0.07,90,08592797-4722106,5.876,0.005,0.018,140291.1,5.001,0.019,0.024,159775.4,4.550,0.007,0.016,115191.4,AEA,111,111,000,662646,20.4,0,0,0.8750,0.4510,1.3260
118.546499,36.741562,0.06,0.06,90,07541115+3644296,5.457,0.017,0.024,192588.3,5.001,0.013,0.020,121202.1,4.914,0.013,0.020,74271.1,AAA,111,111,000,665566,89.9,0,0,0.4560,0.0870,0.5430
238.333570,-20.167002,0.07,0.07,90,15532005-2010012,4.987,0.033,0.037,391408.3,5.001,0.023,0.027,139158.6,4.903,0.015,0.021,83218.5,EAA,111,111,000,163656,30.4,0,0,-0.0140,0.0980,0.0840
