ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,pxpa,pxcntr,gal_contam,mp_flg,jdate,j_h,h_k,j_k
173.893631,-56.443405,0.06,0.06,90,11353447-5626362,7.125,0.015,0.023,42897.3,6.001,0.043,0.045,63607.8,5.420,0.011,0.018,49936.7,AAA,111,111,000,666666,14.7,145,775004018,0,0,2451569.8724,1.1240,0.5810,1.7050
172.645882,-57.133881,0.06,0.06,90,11303501-5708019,6.495,0.007,0.018,76635.5,6.019,0.041,0.044,62561.9,5.868,0.029,0.033,34215.3,AAA,111,111,000,666666,12.9,242,774689669,0,0,2451569.8366,0.4760,0.1510,0.6270
161.295439,-56.043968,0.06,0.06,0,10451090-5602382,6.900,0.013,0.021,45965.3,6.008,0.031,0.034,53175.3,5.722,0.015,0.021,36527.5,AAA,111,111,000,666666,16.0,62,785502126,0,0,2451564.8146,0.8920,0.2860,1.1780
158.391807,-55.724548,0.06,0.06,0,10333403-5543283,6.596,0.011,0.020,60817.7,6.018,0.027,0.031,49171.1,5.785,0.017,0.023,33298.1,AAA,111,111,000,676755,11.0,241,784694349,0,0,2451564.7326,0.5780,0.2330,0.8110
164.303751,-54.402618,0.07,0.06,0,10571290-5424094,6.810,0.013,0.021,46604.7,6.015,0.013,0.020,47633.2,5.798,0.023,0.027,32901.8,AAA,111,111,000,666666,11.4,232,826391337,0,0,2451578.6823,0.7950,0.2170,1.0120
164.443201,-55.197445,0.06,0.06,90,10574636-5511508,6.904,0.013,0.021,42739.6,6.014,0.023,0.027,47677.1,5.709,0.017,0.023,35712.5,AAA,111,111,000,666666,21.4,350,826385699,0,0,2451578.6817,0.8900,0.3050,1.1950
162.967248,-55.948093,0.06,0.06,90,10515213-5556531,7.103,0.017,0.024,42289.2,6.022,0.029,0.033,60271.2,5.567,0.021,0.026,43613.4,AAA,111,111,000,665666,22.0,61,785981949,0,0,2451564.8604,1.0810,0.4550,1.5360
159.911500,-54.970940,0.06,0.06,90,10393876-5458153,7.056,0.009,0.019,41212.6,6.018,0.033,0.036,47501.8,5.664,0.021,0.026,37223.7,AAA,111,111,000,667756,15.2,105,785069451,0,0,2451564.7711,1.0380,0.3540,1.3920
161.356843,-58.064671,0.06,0.06,90,10452564-5803528,7.272,0.009,0.019,32631.0,6.022,0.031,0.034,52494.0,5.426,0.015,0.021,47975.6,AAA,111,111,000,666666,14.0,345,785482907,0,0,2451564.8131,1.2500,0.5960,1.8460
162.474834,-57.230267,0.06,0.06,90,10495396-5713489,7.039,0.007,0.018,46433.3,6.002,0.023,0.027,59307.6,5.488,0.011,0.018,48553.4,AAA,111,111,000,666666,19.6,170,785846530,0,0,2451564.8497,1.0370,0.5140,1.5510
167.952332,-59.153896,0.06,0.06,90,11114855-5909140,6.995,0.013,0.021,48353.7,6.017,0.027,0.031,74492.1,5.652,0.013,0.020,44732.2,AAA,111,111,000,666666,14.7,120,827714568,0,0,2451578.8828,0.9780,0.3650,1.3430
166.239859,-59.858906,0.06,0.06,90,11045756-5951320,6.073,0.009,0.019,98453.2,6.007,0.043,0.045,49671.8,5.923,0.019,0.024,30354.3,AAA,111,111,000,666666,14.9,247,826892587,0,0,2451578.7339,0.0660,0.0840,0.1500
166.652230,-59.507542,0.06,0.06,0,11063653-5930271,7.155,0.011,0.020,36343.8,6.010,0.039,0.042,49534.8,5.446,0.019,0.024,47099.9,AAA,111,111,000,665666,15.0,62,826999388,0,0,2451578.7434,1.1450,0.5640,1.7090
164.314842,-59.408844,0.06,0.06,0,10571556-5924318,7.165,0.009,0.019,33607.0,6.016,0.045,0.047,47589.4,5.289,0.019,0.024,52579.9,AAA,111,111,000,776766,12.1,258,826348059,0,0,2451578.6786,1.1490,0.7270,1.8760
182.352390,-38.729813,0.06,0.06,90,12092457-3843473,6.632,0.011,0.020,80284.2,6.013,0.037,0.040,60772.9,5.836,0.013,0.020,37759.0,AAA,111,111,000,666666,28.4,271,358531231,0,0,2451276.5805,0.6190,0.1770,0.7960
196.745623,-25.787033,0.06,0.06,90,13065894-2547133,6.895,0.011,0.020,67519.6,6.026,0.023,0.027,60049.6,5.775,0.017,0.023,47470.1,AAA,111,111,000,666666,77.2,22,72677382,0,0,2450963.5697,0.8690,0.2510,1.1200
194.568861,-31.280264,0.06,0.06,0,12581652-3116489,6.545,0.029,0.034,78420.6,6.010,0.027,0.031,65299.5,5.871,0.017,0.023,36561.2,AAA,111,111,000,666666,40.0,299,345521291,0,0,2451266.7758,0.5350,0.1390,0.6740
195.652760,-31.778362,0.06,0.06,0,13023666-3146421,6.579,0.015,0.023,76002.9,6.012,0.013,0.020,67469.9,5.908,0.013,0.020,35336.2,AAA,111,111,000,666666,25.8,78,345631262,0,0,2451266.8187,0.5670,0.1040,0.6710
197.913396,-26.551731,0.06,0.06,90,13113921-2633062,6.119,0.013,0.021,147853.0,6.018,0.037,0.040,64820.2,6.007,0.011,0.018,39684.4,AAA,111,111,d00,555566,27.6,114,72777703,0,0,2450963.6192,0.1010,0.0110,0.1120
181.579715,-24.214827,0.08,0.06,90,12061913-2412533,6.943,0.013,0.021,64599.6,6.019,0.069,0.071,58386.2,5.700,0.021,0.026,47470.1,AAA,111,111,000,665667,13.4,121,41250759,0,0,2450965.5175,0.9240,0.3190,1.2430
186.168320,-28.944614,0.07,0.06,90,12244039-2856406,6.520,0.015,0.023,69892.4,6.018,0.059,0.061,52687.8,5.875,0.019,0.024,36426.7,AAA,111,111,000,665666,32.1,285,1298529640,0,0,2450999.4485,0.5020,0.1430,0.6450
183.468299,-34.150700,0.06,0.06,90,12135239-3409025,6.740,0.007,0.018,72682.5,6.011,0.035,0.038,74904.9,5.849,0.031,0.034,38620.7,AAA,111,111,000,677777,29.8,222,346901025,0,0,2451274.7349,0.7290,0.1620,0.8910
