ra,dec,h_m,h_cmsig,prox,j_m,k_m,rd_flg,j_h,h_k,j_k
209.083200,-54.132294,6.005,0.019,17.7,6.018,5.941,111,0.0130,0.0640,0.0770
208.704063,-62.249672,6.009,0.041,17.5,6.654,5.867,111,0.6450,0.1420,0.7870
210.584432,-59.268646,6.006,0.059,10.5,6.912,5.565,111,0.9060,0.4410,1.3470
209.802752,-59.436207,6.008,0.029,11.4,6.942,5.651,111,0.9340,0.3570,1.2910
130.661336,-29.799116,6.009,0.019,11.3,6.815,5.700,111,0.8060,0.3090,1.1150
129.955038,-27.987104,6.003,0.051,12.1,6.942,5.634,111,0.9390,0.3690,1.3080
126.391484,-26.495428,6.004,0.035,18.2,6.787,5.792,111,0.7830,0.2120,0.9950
125.063346,-30.642347,6.007,0.043,16.2,6.639,5.774,111,0.6320,0.2330,0.8650
274.512276,-13.206739,6.004,0.029,11.3,7.685,5.197,111,1.6810,0.8070,2.4880
272.178323,-16.090290,6.006,0.041,10.3,7.449,5.328,111,1.4430,0.6780,2.1210
274.528330,-15.722232,6.008,0.061,13.4,7.753,5.203,111,1.7450,0.8050,2.5500
231.497984,-54.488750,6.002,0.043,14.8,7.252,5.365,111,1.2500,0.6370,1.8870
244.688017,-52.723896,6.003,0.027,12.3,7.033,5.523,111,1.0300,0.4800,1.5100
245.088137,-52.133907,6.009,0.033,14.6,6.584,5.875,111,0.5750,0.1340,0.7090
246.453382,-51.675129,6.003,0.029,14.3,7.041,5.620,111,1.0380,0.3830,1.4210
286.104889,15.479220,6.004,0.009,17.3,7.054,5.612,111,1.0500,0.3920,1.4420
272.884057,46.149937,6.006,0.011,34.4,6.892,5.654,111,0.8860,0.3520,1.2380
274.323583,42.803032,6.002,0.021,34.2,6.527,5.859,111,0.5250,0.1430,0.6680
278.947738,47.148666,6.004,0.019,43.2,6.502,5.889,111,0.4980,0.1150,0.6130
296.521773,26.911978,6.001,0.029,17.4,7.352,5.485,111,1.3510,0.5160,1.8670
296.674220,26.077438,6.004,0.045,11.7,7.637,5.243,111,1.6330,0.7610,2.3940
265.158234,-23.573339,6.003,0.023,13.0,7.349,5.236,111,1.3460,0.7670,2.1130
184.400794,-63.419777,6.004,0.021,12.1,7.303,5.377,111,1.2990,0.6270,1.9260
200.242444,-62.111847,6.009,0.017,14.2,7.028,5.570,111,1.0190,0.4390,1.4580
202.192382,-64.208885,6.009,0.035,11.5,7.054,5.605,111,1.0450,0.4040,1.4490
194.884598,-62.562347,6.004,0.029,14.4,7.201,5.516,111,1.1970,0.4880,1.6850
194.111779,-64.130615,6.003,0.021,10.5,7.036,5.568,111,1.0330,0.4350,1.4680
283.608723,10.300875,6.003,0.027,11.6,7.486,4.968,111,1.4830,1.0350,2.5180
286.497277,7.813952,6.001,0.027,12.2,7.173,5.555,111,1.1720,0.4460,1.6180
287.799932,10.537177,6.004,0.019,10.2,7.297,5.439,111,1.2930,0.5650,1.8580
287.452885,9.382339,6.006,0.039,14.2,7.239,5.548,111,1.2330,0.4580,1.6910
286.670074,10.370627,6.004,0.011,10.3,7.392,5.228,111,1.3880,0.7760,2.1640
204.280975,-57.502975,6.005,0.013,15.4,6.586,5.825,111,0.5810,0.1800,0.7610
215.171377,-57.399151,6.005,0.049,10.7,7.015,5.615,111,1.0100,0.3900,1.4000
205.949516,-62.320744,6.009,0.041,13.3,8.239,4.893,111,2.2300,1.1160,3.3460
284.020928,-1.780554,6.003,0.033,10.5,7.293,5.368,111,1.2900,0.6350,1.9250
284.006817,-1.834323,6.005,0.043,11.3,7.001,5.616,111,0.9960,0.3890,1.3850
283.330007,-2.391971,6.002,0.043,12.0,7.462,5.205,111,1.4600,0.7970,2.2570
313.106413,29.572992,6.004,0.019,18.6,6.821,5.769,111,0.8170,0.2350,1.0520
316.664975,38.864609,6.009,0.015,11.7,6.889,5.679,111,0.8800,0.3300,1.2100
318.296485,40.190296,6.005,0.011,14.3,7.330,5.318,111,1.3250,0.6870,2.0120
83.774764,15.721466,6.001,0.023,13.0,6.710,5.764,111,0.7090,0.2370,0.9460
84.801677,11.830206,6.004,0.043,21.4,7.013,5.586,111,1.0090,0.4180,1.4270
75.284208,0.796108,6.001,0.035,15.0,6.495,5.853,111,0.4940,0.1480,0.6420
74.942915,4.224693,6.009,0.031,24.7,6.620,5.825,111,0.6110,0.1840,0.7950
84.689072,8.521595,6.009,0.035,26.3,6.915,5.707,111,0.9060,0.3020,1.2080
275.933411,2.360412,6.008,0.033,12.7,7.092,5.561,111,1.0840,0.4470,1.5310
277.408919,2.010743,6.009,0.029,14.9,7.097,5.532,111,1.0880,0.4770,1.5650
273.089374,5.448805,6.001,0.025,11.7,6.916,5.664,111,0.9150,0.3370,1.2520
290.147581,1.562016,6.005,0.019,11.5,7.228,5.259,111,1.2230,0.7460,1.9690
289.989605,0.451492,6.003,0.017,17.0,7.009,5.545,111,1.0060,0.4580,1.4640
266.751912,-24.913498,6.006,0.037,13.4,6.572,5.823,111,0.5660,0.1830,0.7490
261.567385,-24.714224,6.004,0.033,10.7,7.075,5.569,111,1.0710,0.4350,1.5060
260.517732,-24.380476,6.001,0.025,10.5,7.075,5.575,111,1.0740,0.4260,1.5000
269.350446,-33.327305,6.009,0.047,12.0,6.989,5.587,111,0.9800,0.4220,1.4020
278.622039,-14.897743,6.008,0.049,15.9,6.891,5.706,111,0.8830,0.3020,1.1850
279.852052,-14.646561,6.003,0.039,14.5,6.983,5.721,111,0.9800,0.2820,1.2620
151.964111,26.668535,6.005,0.015,64.5,6.731,5.854,111,0.7260,0.1510,0.8770
129.247976,47.556656,6.006,0.011,37.6,6.698,5.838,111,0.6920,0.1680,0.8600
136.552493,44.876186,6.009,0.019,77.8,6.479,5.874,111,0.4700,0.1350,0.6050
125.010758,33.413002,6.007,0.007,20.9,6.795,5.810,111,0.7880,0.1970,0.9850
85.043463,2.046438,6.008,0.019,22.6,7.007,5.688,111,0.9990,0.3200,1.3190
87.368885,5.595706,6.008,0.035,16.7,6.983,5.647,111,0.9750,0.3610,1.3360
89.802138,19.485928,6.009,0.031,14.1,6.961,5.739,111,0.9520,0.2700,1.2220
130.333020,-19.174845,6.002,0.025,56.9,6.702,5.842,111,0.7000,0.1600,0.8600
123.921808,-15.400924,6.009,0.019,14.8,6.799,5.811,111,0.7900,0.1980,0.9880
126.450589,-16.527452,6.004,0.039,22.6,6.845,5.734,111,0.8410,0.2700,1.1110
142.103457,-23.898993,6.001,0.029,15.9,6.895,5.698,111,0.8940,0.3030,1.1970
135.519903,-23.265028,6.009,0.041,22.4,6.983,5.687,111,0.9740,0.3220,1.2960
288.734122,7.313795,6.004,0.023,13.6,7.202,5.497,111,1.1980,0.5070,1.7050
289.896642,7.672852,6.007,0.017,10.7,7.534,5.168,111,1.5270,0.8390,2.3660
301.784404,-0.802923,6.005,0.031,23.5,6.887,5.713,111,0.8820,0.2920,1.1740
298.707175,-1.246541,6.008,0.023,18.1,6.989,5.653,111,0.9810,0.3550,1.3360
300.786698,-2.897309,6.002,0.017,23.2,6.960,5.691,111,0.9580,0.3110,1.2690
301.148423,-1.315150,6.006,0.011,15.6,6.606,5.835,111,0.6000,0.1710,0.7710
