id,ra,dec,h_m
71,301.784404,-0.802923,6.005
73,300.786698,-2.897309,6.002
77,299.343291,-9.266182,6.002
107,290.320079,-22.665951,6.005
190,350.37107,22.601997,6.008
191,353.030872,20.523722,6.004
199,317.524719,7.720908,6.007
200,18.472546,-36.185135,6.002
201,39.337216,-33.649212,6.004
335,317.949032,-2.601541,6.008
336,331.522202,-5.358106,6.003
337,332.95866,-9.74529,6.004
340,341.682044,-25.397381,6.008
341,342.004602,-28.520452,6.004
342,336.499385,-14.951735,6.007
343,339.527763,-2.898578,6.006
358,320.251316,-62.349483,6.005
359,275.243254,-67.344978,6.001
360,330.882453,-68.058838,6.007
361,313.939972,-65.175064,6.001
362,343.910972,-2.842278,6.001
383,53.51384,-60.141155,6.006
384,53.352817,-60.014744,6.009
385,7.938227,-68.358047,6.007
386,81.262462,-68.003197,6.009
396,307.3036,2.802408,6.001
442,77.535265,-76.139549,6.006
443,0.380625,-72.605904,6.006
444,36.962979,-77.418556,6.005
472,350.948748,-71.46669,6.007
473,324.706958,-74.12532,6.003
474,270.911141,-68.336494,6.002
475,270.850995,-70.334862,6.006
476,275.142279,-73.818008,6.004
488,279.619989,-60.224586,6.009
489,275.594826,-62.77129,6.003
490,279.639144,-62.831547,6.009
491,274.119028,-57.447151,6.005
496,1.563059,-24.503414,6.005
497,25.217215,-6.162648,6.009
498,8.329766,-19.497393,6.008
499,13.664972,-21.473104,6.001
500,83.914406,-81.611832,6.005
516,344.985023,-60.825615,6.004
523,342.951845,-44.784592,6.003
524,340.561962,-34.277447,6.008
525,333.810657,-48.693981,6.008
526,328.435274,-43.235855,6.002
527,324.112987,-48.055225,6.001
528,325.805599,-49.067699,6.006
529,330.781124,-43.232441,6.009
530,315.609929,-2.502823,6.002
531,308.375709,-11.445525,6.007
532,320.494029,-10.315129,6.009
533,303.223696,-22.990753,6.007
544,39.030489,-70.807213,6.009
545,47.20953,-64.565247,6.004
546,51.287581,-65.005333,6.003
634,323.250999,-30.140495,6.001
635,312.554409,-38.241081,6.009
636,309.60907,-35.300629,6.001
637,354.768105,0.123617,6.001
638,358.993272,21.165968,6.002
639,344.828595,4.35854,6.007
661,54.759151,-51.299713,6.007
662,60.907656,-50.235638,6.003
663,58.402734,-39.53178,6.003
664,67.687933,-46.521732,6.007
665,45.358316,-5.041418,6.008
666,50.81149,-11.658801,6.009
667,48.94446,-19.346401,6.007
668,26.703149,-49.646698,6.002
716,305.907016,-9.13204,6.005
748,19.20989,21.051805,6.001
749,15.389841,11.942099,6.007
771,332.495492,22.041451,6.002
772,334.827781,12.254126,6.004
773,331.553017,14.857541,6.005
774,330.28321,15.603873,6.002
775,325.276137,11.016935,6.002
776,336.700398,19.962057,6.009
778,2.710978,5.088806,6.003
779,4.260281,2.371436,6.003
780,6.726173,8.562753,6.002
836,294.459922,-41.728039,6.003
837,307.218329,-32.096596,6.006
838,309.659294,-45.256695,6.009
891,280.830511,-38.58606,6.006
892,283.102537,-43.089161,6.003
893,285.096198,-44.776604,6.001
894,282.034283,-43.969391,6.003
895,308.543172,-47.83728,6.004
905,315.22363,12.506973,6.004
909,305.083118,-16.982304,6.001
910,304.267906,-15.524342,6.004
911,320.506637,-21.624388,6.009
912,319.881714,-23.772202,6.001
968,292.924189,-28.774242,6.001
969,288.954025,-31.877666,6.005
970,300.600012,-35.274673,6.002
971,295.014073,-31.608826,6.008
972,300.845736,-40.851185,6.007
973,293.300428,-46.089314,6.003
1003,288.495527,-25.808058,6.004
1015,269.775171,-68.556816,6.008
1016,267.90371,-69.920135,6.008
