id,ra,dec,h_m,azimuth
638,358.993272,21.165968,6.002,4.058669991600575
778,2.710978,5.088806,6.003,11.691882082087844
779,4.260281,2.371436,6.003,15.092634778558772
780,6.726173,8.562753,6.002,16.601216472339544
749,15.389841,11.942099,6.007,26.474484713181266
496,1.563059,-24.503414,6.005,35.26461382635128
498,8.329766,-19.497393,6.008,44.624927854866606
497,25.217215,-6.162648,6.009,52.8606092973559
499,13.664972,-21.473104,6.001,60.181929831627066
665,45.358316,-5.041418,6.008,70.41287394796967
667,48.94446,-19.346401,6.007,88.28586584468077
201,39.337216,-33.649212,6.004,104.06562450857768
200,18.472546,-36.185135,6.002,107.34164384246401
663,58.402734,-39.53178,6.003,116.86138281376714
662,60.907656,-50.235638,6.003,130.9587494475717
661,54.759151,-51.299713,6.007,132.12684966939486
668,26.703149,-49.646698,6.002,135.76770105511747
384,53.352817,-60.014744,6.009,144.21297216549732
383,53.51384,-60.141155,6.006,144.36668954927134
546,51.287581,-65.005333,6.003,151.21483679932257
545,47.20953,-64.565247,6.004,151.3838544531911
338,359.044478,-39.052406,6.007,157.1040220211469
544,39.030489,-70.807213,6.009,161.25616584341026
444,36.962979,-77.418556,6.005,168.87634494215033
385,7.938227,-68.358047,6.007,172.29819374538803
443,0.380625,-72.605904,6.006,177.7068976828452
472,350.948748,-71.46669,6.007,182.2603530818995
516,344.985023,-60.825615,6.004,190.4786901475818
473,324.706958,-74.12532,6.003,191.52697768644546
360,330.882453,-68.058838,6.007,194.51634462607709
361,313.939972,-65.175064,6.001,204.99889326444452
358,320.251316,-62.349483,6.005,206.20872507408657
523,342.951845,-44.784592,6.003,214.74083705789553
525,333.810657,-48.693981,6.008,218.71030208217397
528,325.805599,-49.067699,6.006,224.37963478762228
527,324.112987,-48.055225,6.001,227.32459148032157
895,308.543172,-47.83728,6.004,232.2997155590803
529,330.781124,-43.232441,6.009,233.8890522632348
973,293.300428,-46.089314,6.003,234.72755638680155
526,328.435274,-43.235855,6.002,235.32752052229566
838,309.659294,-45.256695,6.009,236.3885923451091
836,294.459922,-41.728039,6.003,240.64436265873104
972,300.845736,-40.851185,6.007,242.8353112851177
635,312.554409,-38.241081,6.009,248.28064071985332
970,300.600012,-35.274673,6.002,250.62876126913218
636,309.60907,-35.300629,6.001,252.73305497884448
971,295.014073,-31.608826,6.008,253.708715090151
968,292.924189,-28.774242,6.001,256.3431894403957
837,307.218329,-32.096596,6.006,257.06838294564903
524,340.561962,-34.277447,6.008,257.8238348859137
634,323.250999,-30.140495,6.001,266.2313840155114
533,303.223696,-22.990753,6.007,267.9015830303483
909,305.083118,-16.982304,6.001,276.2901244257696
912,319.881714,-23.772202,6.001,276.4153016504535
910,304.267906,-15.524342,6.004,277.4759280137399
911,320.506637,-21.624388,6.009,280.47689407160317
531,308.375709,-11.445525,6.007,284.9027448846437
341,342.004602,-28.520452,6.004,285.4427629930978
716,305.907016,-9.13204,6.005,285.6209731841629
532,320.494029,-10.315129,6.009,296.57130027240976
340,341.682044,-25.397381,6.008,297.00970998526975
530,315.609929,-2.502823,6.002,300.3623526574872
335,317.949032,-2.601541,6.008,302.4804395243668
342,336.499385,-14.951735,6.007,311.0301719084648
337,332.95866,-9.74529,6.004,312.5512786595056
336,331.522202,-5.358106,6.003,315.4173382498849
775,325.276137,11.016935,6.002,321.32772522098094
774,330.28321,15.603873,6.002,329.4642492734489
343,339.527763,-2.898578,6.006,329.8975611423003
773,331.553017,14.857541,6.005,330.43219708776826
772,334.827781,12.254126,6.004,332.7904275201442
362,343.910972,-2.842278,6.001,337.5231941666587
639,344.828595,4.35854,6.007,342.67379886229764
191,353.030872,20.523722,6.004,357.1279914489571
637,354.768105,0.123617,6.001,358.6833358379719
